,ref,lea name,site url,policy url,me policy url,mei url (if separate)
125,SB978-114,Costa Mesa Police Department,https://web.archive.org/web/20230322185003/https://www.costamesaca.gov/government/departments-and-divisions/police,https://web.archive.org/web/20211102020820/https://www.costamesaca.gov/home/showpublisheddocument/40449/637442270717970000,,
126,SB978-115,Cosumnes River College Police Department,https://web.archive.org/web/20110504130710/http://police.losrios.edu/,https://web.archive.org/web/20210306012203/https://police.losrios.edu/lrpd/doc/policy-manual.pdf,https://web.archive.org/web/20210306012203/https://police.losrios.edu/lrpd/doc/policy-manual.pdf,--No link for this in original dataset--
127,SB978-116,Cotati Police Department,https://web.archive.org/web/20221014200915/https://www.cotaticity.org/229/Police,https://web.archive.org/web/20230719155031/https://www.cotaticity.org/DocumentCenter/View/432/Cotati-Police-Department-Policy-Manual-PDF,,--No link for this in original dataset--
128,SB978-117,Covina Police Department,https://web.archive.org/web/20100823044835/http://www.covinaca.gov/,https://web.archive.org/web/20230719155032/https://covinapd.org/wp-content/uploads/2022/09/covinapd-policy-manual-2022-09.pdf,https://web.archive.org/web/20230719155032/https://covinapd.org/wp-content/uploads/2022/09/covinapd-policy-manual-2022-09.pdf,--No link for this in original dataset--
129,SB978-118,CPSU Pomona Department of Public Safety,https://web.archive.org/web/20201028141608/https://www.cpp.edu/police/index.shtml,https://web.archive.org/web/20210415051204/https://www.cpp.edu/police/csu_pomona_policy_and_procedure_manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
130,SB978-119,Cal Poly University Police,https://web.archive.org/web/20000830145955/http://www.afd.calpoly.edu/Police/,https://web.archive.org/web/20200302103515/https://afd.calpoly.edu/police/police-administration/policies/,https://web.archive.org/web/20221010233724/https://afd.calpoly.edu/police/police-administration/policies/700/709-regulated-equipment-tools.pdf,--No link for this in original dataset--
131,SB978-121,CSU Bakersfield University Police Department,https://web.archive.org/web/20060815225954/http://www.csub.edu/bas/police/,https://web.archive.org/web/20210415235715/https://www.csub.edu/bas/police/_files/CSUB-Policy-Manual-RELEASE.pdf,,--No link for this in original dataset--
132,SB978-122,CSU Channel Islands University Police Department,https://web.archive.org/web/20140209091347/http://www.csuci.edu/publicsafety/police/,https://web.archive.org/web/20210415041440/https://www.csuci.edu/publicsafety/police/lexipol-manuals/lexipol-manual-06172020.pdf,--No link for this in original dataset--,--No link for this in original dataset--
133,SB978-123,CSU Chico University Police Department,https://web.archive.org/web/19970522050049/http://www.csuchico.edu/up/,https://web.archive.org/web/20210327151407/https://www.csuchico.edu/up/_assets/documents/upd-policy.pdf,--No link for this in original dataset--,--No link for this in original dataset--
134,SB978-124,CSU Dominguez Hills University Police and Parking,https://web.archive.org/web/20040106154851/http://www.csudh.edu/dhpd/,https://web.archive.org/web/20210415235638/https://www.csudh.edu/Assets/csudh-sites/dhpd/docs/RELEASE_20191203_T174623_CSU_Dominguez_Hills_PD_CA_Policy_Manual%20(1).pdf,--No link for this in original dataset--,--No link for this in original dataset--
135,SB978-125,CSU East Bay University Police Department,https://web.archive.org/web/20180916050857/http://www.csueastbay.edu/upd/,https://web.archive.org/web/20210415050728/https://www.csueastbay.edu/upd/files/docs/csu-east-bay-policy-and-procedure-manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
136,SB978-126,CSU Fresno University Police Department,https://web.archive.org/web/20210919211223/https://adminfinance.fresnostate.edu/police/,https://web.archive.org/web/20211025205259/https://adminfinance.fresnostate.edu/police/policies.html,--No link for this in original dataset--,--No link for this in original dataset--
137,SB978-127,CSU Fullerton University Police Department,https://web.archive.org/web/19990503121626/http://police.fullerton.edu/,https://web.archive.org/web/20200617072109/https://police.fullerton.edu/policies-training/Default.php,--No link for this in original dataset--,--No link for this in original dataset--
138,SB978-128,Cal Poly Humboldt Police Department ,https://web.archive.org/web/20171107033932/http://police.humboldt.edu/,https://web.archive.org/web/20230719150601/https://police.humboldt.edu/sites/default/files/policy_manual_04-01-2022.pdf,--No link for this in original dataset--,--No link for this in original dataset--
139,SB978-129,CSU Long Beach University Police Department,https://web.archive.org/web/20170910085305/http://www.csulb.edu/university-police,,--No link for this in original dataset--,--No link for this in original dataset--
