,ref,lea name,url
274,SB978-305,Marina Department of Public Safety,https://web.archive.org/web/20110627051933/http://cityofmarina.org/
275,SB978-308,Martinez Police Department,https://web.archive.org/web/19981202082247/http://www.cityofmartinez.org/
276,SB978-309,Marysville Police Department,https://web.archive.org/web/20080501162015/http://www.marysvillepd.org/
277,SB978-310,McFarland Police Department,https://web.archive.org/web/20040218025559/http://www.mcfarlandcity.org/
278,SB978-313,Mendocino County Sheriff's Department,https://web.archive.org/web/20070925052150/http://www.mendocinosheriff.com/
279,SB978-314,Mendota Police Department,https://web.archive.org/web/20040405123414/http://www.ci.mendota.ca.us/
280,SB978-315,Menifee Police Department,https://web.archive.org/web/20200511171258/https://menifeepolice.org/
281,SB978-316,Menlo Park Police Department,https://web.archive.org/web/20000510152545/http://www.menlopark.org/
282,SB978-317,Merced Community College Police Department,https://web.archive.org/web/20021026193731/http://www.mccd.edu/
283,SB978-319,Merced County Sheriff's Department,https://web.archive.org/web/19980109175324/http://co.merced.ca.us/
284,SB978-320,Merced Police Department,https://web.archive.org/web/20030205041859/http://www.cityofmerced.org/
285,SB978-321,Mill Valley Police Department,https://web.archive.org/web/19990427111625/http://www.cityofmillvalley.org/
286,SB978-323,Milpitas Police Department,https://web.archive.org/web/20220423025100/https://www.milpitas.gov/
287,SB978-324,MiraCosta Community College District Police Department,https://web.archive.org/web/20020524042016/http://www.miracosta.edu/
288,SB978-325,Modesto Police Department,https://web.archive.org/web/20010419113932/http://www.modestogov.com/
289,SB978-326,Modoc County Sheriff's Department,https://web.archive.org/web/20081229223528/http://www.modocsheriff.us/
290,SB978-328,Mono County Sheriff's Department,https://web.archive.org/web/20020531094142/http://www.monosheriff.org/
291,SB978-329,Monrovia Police Department,https://web.archive.org/web/20041209120513/http://www.cityofmonrovia.org/
292,SB978-330,Montclair Police Department,https://web.archive.org/web/20080807154700/http://www.cityofmontclair.org/
293,SB978-331,Montebello Police Department,https://web.archive.org/web/20220924020125/https://www.montebelloca.gov/
294,SB978-334,Monterey County Sheriff's Department,https://web.archive.org/web/20150712133824/https://www.montereysheriff.org/
295,SB978-335,Monterey Park Police Department,https://web.archive.org/web/20130416051303/http://www.montereypark.ca.gov
296,SB978-337,Monterey Police Department,https://web.archive.org/web/19961111104240/http://www.monterey.org/
297,SB978-339,Moraga Police Department,https://web.archive.org/web/20091222091726/http://police.moraga.ca.us/
298,SB978-340,Morgan Hill Police Department,https://web.archive.org/web/19981205170655/http://www.morgan-hill.ca.gov/
299,SB978-341,Morro Bay Police Department,https://web.archive.org/web/20000816204831/http://www.morro-bay.ca.us/
300,SB978-342,Mountain View Police Department,https://web.archive.org/web/20201016164716/https://mvpdpublicrecords.org/
301,SB978-345,Mt. Shasta Police Department,https://web.archive.org/web/20140202092559/http://mtshastaca.gov/
302,SB978-346,Murrieta Police Department,https://web.archive.org/web/20160626190214/http://www.murrietaca.gov/
303,SB978-348,Napa County Sheriff's Department,https://web.archive.org/web/20090804185625/http://www.countyofnapa.org/
304,SB978-349,Napa Police Department,https://web.archive.org/web/19980112090319/http://www.cityofnapa.org/
